line, threshold, probability, betrivers, draftkings, fanduel, mgm, pointsbet
Jayson Tatum O*points, 35.5, 0.8058715997804485, -287.0*, -527.0*, -325.0*, -530.0*, -530.0*, 
Jayson Tatum U*points, 35.5, 0.8257090598684588, -292.0*, -543.0*, -553.0*, -550.0*, -550.0*, 
Jayson Tatum O*assists, 5.5, 0.5074360677467363, 102, 105, -113, 100, -110, 
Jayson Tatum U*assists, 5.5, 0.5576841957553349, -137, -125, -115, -135, -120, 
Jayson Tatum O*rebounds, 10.5, 0.55055361870827, 112, 114, -437.0*, -105, 105, 
Jayson Tatum U*rebounds, 10.5, 0.5673903277821737, 114, -135, -183.0*, -130, -140, 
Jayson Tatum O*rebast, 15.5, 0.5452690206211332, , -122, -113, -120, -125, 
Jayson Tatum U*rebast, 15.5, 0.5153926456590302, , 102, -113, -110, -105, 
Jayson Tatum O*threes, 2.5, 0.5863222908696175, -143, -135, -146, -145, -140, 
Jayson Tatum U*threes, 2.5, 0.4772759343080747, 110, 114, 114, 105, 105, 
Jayson Tatum O*steals, 0.5, 0.6837606837606837, -225, , -200, -225, , 
Jayson Tatum U*steals, 0.5, 0.38618143629969626, 163, , 154, 160, , 
Jayson Tatum O*blocks, 0.5, 0.4975247524752475, , , 102, 100, , 
Jayson Tatum U*blocks, 0.5, 0.5698427382053655, , , -130, -135, , 
Jayson Tatum O*stlblk, 1.5, 0.5348837209302325, , , , -115, , 
Jayson Tatum U*stlblk, 1.5, 0.5454545454545454, , , , -120, , 
Jayson Tatum O*turnovers, 2.5, 0.574468085106383, , , , -135, , 
Jayson Tatum U*turnovers, 2.5, 0.5, , , , 100, , 
Bam Adebayo O*points, 21.5, 0.5657599414805587, -103, 102, -377.0*, -110, -105, 
Bam Adebayo U*points, 21.5, 0.5504400613644311, -104, -122, -145.0*, -120, -125, 
Bam Adebayo O*assists, 4.0, 0.8222086612520372, -466.0*, -450.0*, -467.0*, -475.0*, -455.0*, 
Bam Adebayo U*assists, 4.0, 0.6848517210861154, -219.0*, -220.0*, -213.0*, -210.0*, -225.0*, 
Bam Adebayo O*rebounds, 11.0, 0.673944772078187, 365.0*, -365.0*, -373.0*, -380.0*, -375.0*, 
Bam Adebayo U*rebounds, 11.0, 0.5182121170615896, 347.0*, -145.0*, -145.0*, -145.0*, -145.0*, 
Bam Adebayo O*rebast, 15.0, 0.7839798913560073, , -363.0*, -358.0*, -373.0*, -358.0*, 
Bam Adebayo U*rebast, 15.0, 0.6636943639360045, , -123.0*, -335.0*, -128.0*, -338.0*, 
Bam Adebayo O*threes, 0.5, 0.4109977324263039, , 145, , 140, 145, 
Bam Adebayo U*threes, 0.5, 0.6489028213166145, , -175, , -190, -190, 
Bam Adebayo O*ptsast, 25.5, 0.5993541198795286, , 100, -367.0*, , -105, 
Bam Adebayo U*ptsast, 25.5, 0.5608666863896989, , -120, -139.0*, , -125, 
Bam Adebayo O*ptsreb, 32.5, 0.5194810034926314, , 100, -108, -110, -115, 
Bam Adebayo U*ptsreb, 32.5, 0.5417693038772621, , -120, -118, -120, -115, 
Bam Adebayo O*steals, 0.5, 0.6620370370370371, -200, , -188, -200, , 
Bam Adebayo U*steals, 0.5, 0.4059643789327952, 148, , 146, 145, , 
Bam Adebayo O*stlblk, 1.5, 0.5652173913043478, , , , -130, , 
Bam Adebayo U*stlblk, 1.5, 0.5, , , , 100, , 
Bam Adebayo O*blocks, 0.5, 0.5737584781899089, -139, , -130, -135, , 
Bam Adebayo U*blocks, 0.5, 0.49428479433309186, 105, , 102, 100, , 
Bam Adebayo O*turnovers, 2.5, 0.43478260869565216, , , , 130, , 
Bam Adebayo U*turnovers, 2.5, 0.6363636363636364, , , , -175, , 
Jaylen Brown O*points, 23.5, 0.5218699810305029, -105, -108, -108, -110, -115, 
Jaylen Brown U*points, 23.5, 0.5299849113693911, 100, -112, -118, -120, -115, 
Jaylen Brown O*rebounds, 7.0, 0.6805398610139737, 396.0*, -396.0*, -386.0*, -421.0*, -401.0*, 
Jaylen Brown U*rebounds, 7.0, 0.5742970311386004, 383.0*, -166.0*, -382.0*, -161.0*, -171.0*, 
Jaylen Brown O*rebast, 9.5, 0.5467705221226348, , -120, -113, -125, -125, 
Jaylen Brown U*rebast, 9.5, 0.5137266689568304, , 100, -113, -105, -105, 
Jaylen Brown O*threes, 2.5, 0.42880062901100774, 148, 130, 140, 120, 130, 
Jaylen Brown U*threes, 2.5, 0.5751885324016839, 163, -155, -180, -160, -170, 
Jaylen Brown O*ptsast, 26.5, 0.521966855563546, , -102, -111, , -115, 
Jaylen Brown U*ptsast, 26.5, 0.5370172818433966, , -118, -115, , -115, 
Jaylen Brown O*ptsreb, 30.5, 0.5258452218096541, , -110, -104, -115, -115, 
Jaylen Brown U*ptsreb, 30.5, 0.5357816288048847, , -110, -122, -115, -115, 
Jaylen Brown O*steals, 1.5, 0.44442984569117794, 115, , 136, 125, , 
Jaylen Brown U*steals, 1.5, 0.6218403810130764, -155, , -174, -165, , 
Jaylen Brown O*stlblk, 1.5, 0.6226415094339622, , , , -165, , 
Jaylen Brown U*stlblk, 1.5, 0.4444444444444444, , , , 125, , 
Derrick White O*points, 24.5, 0.8572063903099675, -636.0*, -427.0*, -697.0*, -632.0*, -692.0*, 
Derrick White U*points, 11.5, 0.15283022475374852, 742.0*, 515.0*, 650.0*, 505.0*, 443.0*, 
Derrick White O*assists, 4.0, 0.44197900610260754, 450.0*, -495.0*, 449.0*, -490.0*, 445.0*, 
Derrick White U*assists, 4.0, 0.44843825048436214, 465.0*, -183.0*, 167.0*, -200.0*, 165.0*, 
Derrick White O*rebounds, 4.5, 0.5289990391205395, -121, -105, -102, -120, -115, 
Derrick White U*rebounds, 4.5, 0.5363475637649444, -109, -115, -125, -115, -115, 
Derrick White O*rebast, 8.5, 0.5505050505050505, , -120, -120, -125, -125, 
Derrick White U*rebast, 8.5, 0.5097383376746389, , 100, -106, -105, -105, 
Derrick White O*threes, 3.0, 0.3031117478034459, 490.0*, 509.0*, -547.0*, 492.0*, 497.0*, 
Derrick White U*threes, 3.0, 0.371641147367114, 527.0*, 197.0*, -227.0*, 202.0*, 197.0*, 
Derrick White O*ptsast, 20.5, 0.5168559175189533, , -105, -106, , -110, 
Derrick White U*ptsast, 20.5, 0.5419309372797745, , -115, -120, , -120, 
Derrick White O*steals, 0.5, 0.6550698780850431, -195, , , -185, , 
Derrick White U*steals, 0.5, 0.41852727431923653, 143, , , 135, , 
Derrick White O*turnovers, 1.5, 0.5, , , , 100, , 
Derrick White U*turnovers, 1.5, 0.574468085106383, , , , -135, , 
Derrick White O*stlblk, 1.5, 0.6226415094339622, , , , -165, , 
Derrick White U*stlblk, 1.5, 0.4444444444444444, , , , 125, , 
Tyler Herro O*points, 20.5, 0.4855829850873693, 144.0*, -115, -122, -110, 144.0*, 
Tyler Herro U*points, 20.5, 0.48407724508872285, 146.0*, -105, -104, -120, 124.0*, 
Tyler Herro O*rebast, 10.5, 0.5133012577259739, , 105, -113, 100, -115, 
Tyler Herro U*rebast, 10.5, 0.5465432749287547, , -125, -113, -130, -115, 
Tyler Herro O*threes, 3.0, 0.1694686587378258, 477.0*, 503.0*, 487.0*, 492.0*, 492.0*, 
Tyler Herro U*threes, 3.0, 0.3236502602576342, 224.0*, 205.0*, 213.0*, 202.0*, 202.0*, 
Tyler Herro O*ptsreb, 25.5, 0.47365669918455233, , -105, 137.0*, -110, 129.0*, 
Tyler Herro U*ptsreb, 25.5, 0.501062247644289, , -115, 114.0*, -120, 119.0*, 
Tyler Herro O*ptsast, 25.5, 0.4781203309964372, , -120, 126.0*, , 124.0*, 
Tyler Herro U*ptsast, 25.5, 0.46296881584492205, , 100, 126.0*, , 124.0*, 
Tyler Herro O*steals, 0.5, 0.5585005057165628, -141, , -115, -125, , 
Tyler Herro U*steals, 0.5, 0.5078994552886679, 106, , -111, -105, , 
Tyler Herro O*blocks, 0.5, 0.17391304347826086, , , , 475, , 
Tyler Herro O*stlblk, 0.5, 0.6226415094339622, , , , -165, , 
Tyler Herro U*stlblk, 0.5, 0.4444444444444444, , , , 125, , 
Tyler Herro O*turnovers, 3.5, 0.46511627906976744, , , , 115, , 
Tyler Herro U*turnovers, 3.5, 0.6078431372549019, , , , -155, , 
Jrue Holiday O*points, 11.5, 0.5316774708665766, -108, -112, -113, -120, -115, 
Jrue Holiday U*points, 11.5, 0.516027711820591, 112, -108, -113, -110, -115, 
Jrue Holiday O*rebounds, 5.0, 0.1974749904657985, 406.0*, 405.0*, 406.0*, 405.0*, 410.0*, 
Jrue Holiday U*rebounds, 5.0, 0.3804676504473664, 161.0*, 175.0*, 164.0*, 160.0*, 155.0*, 
Jrue Holiday O*rebast, 9.5, 0.5374005839122118, , -110, -120, -115, -120, 
Jrue Holiday U*rebast, 9.5, 0.5242664688363492, , -110, -106, -115, -110, 
Jrue Holiday O*threes, 1.5, 0.5882854692444756, -139, -130, -142, -155, -150, 
Jrue Holiday U*threes, 1.5, 0.47318520511726775, 105, 110, 112, 115, 115, 
Jrue Holiday O*steals, 1.5, 0.46915553722133413, 105, , 120, 115, , 
Jrue Holiday U*steals, 1.5, 0.5985774360041076, -139, , -154, -155, , 
Jrue Holiday O*stlblk, 2.5, 0.43478260869565216, , , , 130, , 
Jrue Holiday U*stlblk, 2.5, 0.6226415094339622, , , , -165, , 
Al Horford O*points, 9.5, 0.47408093521368916, 417.0*, -120, -113, -120, -125, 
Al Horford U*points, 9.5, 0.48019384764414863, 199.0*, 100, -113, -110, -105, 
Al Horford O*rebounds, 8.0, 0.5652945083400592, 380.0*, -404.0*, -400.0*, -412.0*, 372.0*, 
Al Horford U*rebounds, 8.0, 0.49283425850558754, 378.0*, -142.0*, -154.0*, -152.0*, 118.0*, 
Al Horford O*rebast, 10.5, 0.5638521947160391, , -120, -128, -130, -140, 
Al Horford U*rebast, 10.5, 0.5, , 100, 100, -105, 105, 
Al Horford O*threes, 1.5, 0.5771414223588136, -122, -125, -130, -150, -160, 
Al Horford U*threes, 1.5, 0.487024282842735, -109, 105, 102, 110, 120, 
Al Horford O*ptsreb, 17.5, 0.5097799753763057, , -120, -118, -125, 152.0*, 
Al Horford U*ptsreb, 17.5, 0.4906150934851523, , 100, -108, -105, 132.0*, 
Al Horford O*steals, 0.5, 0.6, , , , -150, , 
